"","N","Loss","Entropy Mean","Entropy Standart Deviation","Total Entropy(Byte)"
"1",32,808.351210611979,10.2057013348561,0.141524186687495,40.8228053394245
"2",48,537.437497363281,10.0226613933601,0.108965268615733,60.1359683601609
"3",64,389.728940730794,9.8637461516999,0.152606340798823,78.9099692135992
"4",80,310.082306046549,9.72254963024239,0.203647673642328,97.2254963024239
"5",96,255.898585644531,9.59956435506811,0.256303051138372,115.194772260817
"6",112,210.387590600586,9.4971700006432,0.296293477064003,132.960380009005
"7",128,175.275807006836,9.41045432869721,0.33085064162524,150.567269259155
"8",144,167.734110563151,9.32554299031367,0.363328806034317,167.859773825646
"9",160,144.026255659993,9.26437081049712,0.384235179005729,185.287416209942
"10",176,112.654997452799,9.19463152020654,0.405349732023858,202.281893444544
"11",192,98.9688719401042,9.13766733204242,0.429313035862818,219.304015969018
"12",208,98.1643851236979,9.09437331677306,0.440233623347506,236.4537062361
"13",224,87.60430119222,9.04233655738575,0.473578603746067,253.185423606801
"14",240,74.2157879333496,8.99361047989004,0.477907870131298,269.808314396701
"15",256,66.6577790100098,8.95285695181246,0.498314929518315,286.491422457999
"16",272,60.4192730702718,8.92212762315343,0.507839638069309,303.352339187217
"17",288,73.7308740600586,8.89188837952445,0.51450521282487,320.10798166288
"18",304,46.8773193115234,8.8500487002176,0.534767510844678,336.301850608269
"19",320,66.3204663167318,8.83614500763215,0.542091757275785,353.445800305286
"20",336,37.9279784454346,8.79889915308654,0.550343158461934,369.553764429635
"21",352,43.9468425893148,8.7587764116237,0.560975603015066,385.386162111443
"22",368,53.8218799997966,8.72444841697211,0.573254455779004,401.324627180717
"23",384,54.4214946289063,8.69682343206888,0.581087637415323,417.447524739306
"24",400,35.026309165446,8.64180285402329,0.598657801948675,432.090142701165
"25",416,35.0511274139404,8.60700545380414,0.607005219908796,447.564283597815
"26",432,57.6430820495605,8.56938573412518,0.615536194234835,462.74682964276
